AMBAinScope,ResourceType,FriendlyName
no,Microsoft.EventGrid/operations,null
no,Microsoft.EventGrid/locations/operationsStatus,null
no,Microsoft.EventGrid/locations/operationResults,null
no,Microsoft.EventGrid/locations/topicTypes,null
no,Microsoft.EventGrid/extensionTopics,null
no,Microsoft.EventGrid/operationResults,null
no,Microsoft.EventGrid/operationsStatus,null
yes,Microsoft.EventGrid/systemTopics,Event Grid System Topics
no,Microsoft.EventGrid/systemTopics/eventSubscriptions,null
no,Microsoft.EventGrid/partnerRegistrations,null
no,Microsoft.EventGrid/partnerConfigurations,null
no,Microsoft.EventGrid/verifiedPartners,null
yes,Microsoft.EventGrid/namespaces,Event Grid Namespaces
yes,Microsoft.EventGrid/partnerNamespaces,Event Grid Partner Namespaces
yes,Microsoft.EventGrid/partnerTopics,Event Grid Partner Topics
no,Microsoft.EventGrid/partnerTopics/eventSubscriptions,null
no,Microsoft.EventGrid/partnerNamespaces/eventChannels,null
no,Microsoft.EventGrid/partnerNamespaces/channels,null
no,Microsoft.EventGrid/partnerDestinations,null
no,Microsoft.LoadTestService/operations,null
no,Microsoft.LoadTestService/checkNameAvailability,null
no,Microsoft.LoadTestService/loadtests,null
no,Microsoft.LoadTestService/Locations,null
no,Microsoft.LoadTestService/Locations/OperationStatuses,null
no,Microsoft.LoadTestService/registeredSubscriptions,null
no,Microsoft.LoadTestService/loadtests/outboundNetworkDependenciesEndpoints,null
no,Microsoft.LoadTestService/Locations/Quotas,null
no,Microsoft.LoadTestService/loadTestMappings,null
yes,Microsoft.Kusto/clusters,Data explorer resource
no,Microsoft.Kusto/clusters/databases,null
no,Microsoft.Kusto/clusters/attacheddatabaseconfigurations,null
no,Microsoft.Kusto/clusters/principalassignments,null
no,Microsoft.Kusto/clusters/databases/eventhubconnections,null
no,Microsoft.Kusto/clusters/databases/dataconnections,null
no,Microsoft.Kusto/clusters/databases/principalassignments,null
no,Microsoft.Kusto/locations/operationResults,null
no,Microsoft.Kusto/locations,null
no,Microsoft.Kusto/locations/checkNameAvailability,null
no,Microsoft.Kusto/locations/skus,null
no,Microsoft.Kusto/operations,null
no,Microsoft.Kusto/clusters/databases/scripts,null
no,Microsoft.Kusto/clusters/managedPrivateEndpoints,null
no,Microsoft.Kusto/clusters/sandboxCustomImages,null
no,Microsoft.CloudShell/operations,null
no,Microsoft.IoTSecurity/Operations,null
no,Microsoft.IoTSecurity/defenderSettings,null
no,Microsoft.IoTSecurity/locations,null
no,Microsoft.IoTSecurity/locations/deviceGroups,null
no,Microsoft.IoTSecurity/locations/deviceGroups/devices,null
no,Microsoft.IoTSecurity/locations/endpoints,null
no,Microsoft.IoTSecurity/locations/deviceGroups/vulnerabilities,null
no,Microsoft.IoTSecurity/locations/deviceGroups/alerts,null
no,Microsoft.IoTSecurity/locations/deviceGroups/alerts/pcaps,null
no,Microsoft.IoTSecurity/locations/deviceGroups/alerts/learn,null
no,Microsoft.IoTSecurity/locations/deviceGroups/recommendations,null
no,Microsoft.IoTSecurity/locations/sites,null
no,Microsoft.IoTSecurity/locations/sites/sensors,null
no,Microsoft.IoTSecurity/sites,null
no,Microsoft.IoTSecurity/sensors,null
no,Microsoft.IoTSecurity/onPremiseSensors,null
no,Microsoft.IoTSecurity/alertTypes,null
no,Microsoft.IoTSecurity/recommendationTypes,null
no,Microsoft.IoTSecurity/licenseSkus,null
yes,Microsoft.Quota/usages,Quota Usages
yes,Microsoft.Quota/quotas,Quotas
no,Microsoft.Quota/quotaRequests,null
no,Microsoft.Quota/operationsStatus,null
no,Microsoft.Quota/operations,null
no,Microsoft.Quota/groupQuotas,null
no,Microsoft.Quota/groupQuotas/groupQuotaLimits,null
no,Microsoft.Quota/groupQuotas/subscriptions,null
no,Microsoft.Quota/groupQuotas/groupQuotaRequests,null
no,Microsoft.Quota/groupQuotas/quotaAllocations,null
no,Microsoft.Quota/groupQuotas/quotaAllocationRequests,null
no,Microsoft.Quota/groupQuotas/groupQuotaOperationsStatus,null
no,Microsoft.Quota/groupQuotas/subscriptionRequests,null
no,Microsoft.Quota/groupQuotas/quotaAllocationOperationsStatus,null
no,Microsoft.ResourceHealth/availabilityStatuses,null
no,Microsoft.ResourceHealth/childAvailabilityStatuses,null
no,Microsoft.ResourceHealth/childResources,null
no,Microsoft.ResourceHealth/events,null
no,Microsoft.ResourceHealth/metadata,null
no,Microsoft.ResourceHealth/emergingissues,null
no,Microsoft.ResourceHealth/operations,null
no,Microsoft.Web/publishingUsers,null
no,Microsoft.Web/ishostnameavailable,null
no,Microsoft.Web/validate,null
no,Microsoft.Web/isusernameavailable,null
no,Microsoft.Web/generateGithubAccessTokenForAppserviceCLI,null
no,Microsoft.Web/sourceControls,null
no,Microsoft.Web/availableStacks,null
no,Microsoft.Web/webAppStacks,null
no,Microsoft.Web/locations/webAppStacks,null
no,Microsoft.Web/functionAppStacks,null
no,Microsoft.Web/locations/functionAppStacks,null
yes,Microsoft.Web/staticSites,Static Web App
no,Microsoft.Web/locations/previewStaticSiteWorkflowFile,null
no,Microsoft.Web/staticSites/userProvidedFunctionApps,null
no,Microsoft.Web/staticSites/linkedBackends,null
no,Microsoft.Web/staticSites/builds/linkedBackends,null
no,Microsoft.Web/staticSites/databaseConnections,null
no,Microsoft.Web/staticSites/builds/databaseConnections,null
no,Microsoft.Web/staticSites/builds,null
no,Microsoft.Web/staticSites/builds/userProvidedFunctionApps,null
no,Microsoft.Web/listSitesAssignedToHostName,null
no,Microsoft.Web/locations/getNetworkPolicies,null
no,Microsoft.Web/locations/operations,null
no,Microsoft.Web/locations/operationResults,null
no,Microsoft.Web/sites/networkConfig,null
no,Microsoft.Web/sites/slots/networkConfig,null
no,Microsoft.Web/sites/hostNameBindings,null
no,Microsoft.Web/sites/slots/hostNameBindings,null
no,Microsoft.Web/operations,null
no,Microsoft.Web/certificates,null
yes,Microsoft.Web/serverFarms,App Service Plan
yes,Microsoft.Web/sites,Web App
no,Microsoft.Web/sites/slots,null
no,Microsoft.Web/runtimes,null
no,Microsoft.Web/recommendations,null
no,Microsoft.Web/resourceHealthMetadata,null
no,Microsoft.Web/aseregions,null
no,Microsoft.Web/georegions,null
no,Microsoft.Web/sites/premieraddons,null
yes,Microsoft.Web/hostingEnvironments,Web Hosting Environments
no,Microsoft.Web/hostingEnvironments/multiRolePools,null
no,Microsoft.Web/hostingEnvironments/workerPools,null
no,Microsoft.Web/kubeEnvironments,null
no,Microsoft.Web/deploymentLocations,null
no,Microsoft.Web/deletedSites,null
no,Microsoft.Web/locations/deletedSites,null
no,Microsoft.Web/ishostingenvironmentnameavailable,null
no,Microsoft.Web/locations/deleteVirtualNetworkOrSubnets,null
no,Microsoft.Web/locations/validateDeleteVirtualNetworkOrSubnets,null
yes,Microsoft.Web/connections,Web Connections
yes,Microsoft.Web/customApis,Web Custom APIs
no,Microsoft.Web/locations,null
no,Microsoft.Web/locations/listWsdlInterfaces,null
no,Microsoft.Web/locations/extractApiDefinitionFromWsdl,null
no,Microsoft.Web/locations/managedApis,null
no,Microsoft.Web/locations/runtimes,null
no,Microsoft.Web/locations/apiOperations,null
no,Microsoft.Web/connectionGateways,null
no,Microsoft.Web/locations/connectionGatewayInstallations,null
no,Microsoft.Web/checkNameAvailability,null
no,Microsoft.Web/billingMeters,null
no,Microsoft.Web/verifyHostingEnvironmentVnet,null
no,Microsoft.Web/serverFarms/eventGridFilters,null
no,Microsoft.Web/sites/eventGridFilters,null
no,Microsoft.Web/sites/slots/eventGridFilters,null
no,Microsoft.Web/hostingEnvironments/eventGridFilters,null
no,Microsoft.Web/serverFarms/firstPartyApps,null
no,Microsoft.Web/serverFarms/firstPartyApps/keyVaultSettings,null
yes,Microsoft.Web/containerApps,Web Container Apps
no,Microsoft.Web/customhostnameSites,null
no,Microsoft.Web/locations/usages,null
yes,Microsoft.DocumentDB/databaseAccounts,Cosmosdb
no,Microsoft.DocumentDB/databaseAccountNames,null
no,Microsoft.DocumentDB/operations,null
no,Microsoft.DocumentDB/operationResults,null
no,Microsoft.DocumentDB/operationsStatus,null
no,Microsoft.DocumentDB/locations/operationsStatus,null
no,Microsoft.DocumentDB/locations/operationResults,null
no,Microsoft.DocumentDB/locations,null
no,Microsoft.DocumentDB/locations/deleteVirtualNetworkOrSubnets,null
no,Microsoft.DocumentDB/locations/restorableDatabaseAccounts,null
no,Microsoft.DocumentDB/restorableDatabaseAccounts,null
yes,Microsoft.DocumentDB/cassandraClusters,Cassandra Clusters
no,Microsoft.DocumentDB/databaseAccounts/encryptionScopes,null
yes,Microsoft.DocumentDB/mongoClusters,MongoDB Clusters
no,Microsoft.DocumentDB/locations/mongoClusterOperationResults,null
no,Microsoft.DocumentDB/locations/mongoClusterAzureAsyncOperation,null
no,Microsoft.DocumentDB/locations/checkMongoClusterNameAvailability,null
no,Microsoft.DocumentDB/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null
no,Microsoft.DocumentDB/throughputPools,null
no,Microsoft.DocumentDB/throughputPools/throughputPoolAccounts,null
no,Microsoft.GuestConfiguration/guestConfigurationAssignments,null
no,Microsoft.GuestConfiguration/operations,null
no,Astronomer.Astro/locations,null
no,Astronomer.Astro/operations,null
no,Astronomer.Astro/organizations,null
no,Astronomer.Astro/locations/operationStatuses,null
no,Dynatrace.Observability/operations,null
no,Dynatrace.Observability/registeredSubscriptions,null
no,Dynatrace.Observability/locations,null
no,Dynatrace.Observability/locations/operationStatuses,null
No,Dynatrace.Observability/monitors,null
no,Dynatrace.Observability/monitors/tagRules,null
no,Dynatrace.Observability/monitors/singleSignOnConfigurations,null
no,Dynatrace.Observability/checkNameAvailability,null
no,Dynatrace.Observability/getMarketplaceSaaSResourceDetails,null
no,Dynatrace.Observability/monitors/listHosts,null
no,Dynatrace.Observability/monitors/listMonitoredResources,null
no,Dynatrace.Observability/monitors/listAppServices,null
no,GitHub.Network/Operations,null
no,GitHub.Network/networkSettings,null
no,GitHub.Network/registeredSubscriptions,null
no,Informatica.DataManagement/registeredSubscriptions,null
no,Informatica.DataManagement/locations,null
no,Informatica.DataManagement/locations/operationStatuses,null
no,Informatica.DataManagement/checkNameAvailability,null
no,Informatica.DataManagement/organizations,null
no,Informatica.DataManagement/organizations/singleSignOnConfigurations,null
no,Informatica.DataManagement/operations,null
no,Informatica.DataManagement/organizations/serverlessRuntimes,null
yes,Microsoft.AAD/DomainServices,Azure Active Directory Domain Services
no,Microsoft.AAD/DomainServices/oucontainer,null
no,Microsoft.AAD/locations,null
no,Microsoft.AAD/locations/operationresults,null
no,Microsoft.AAD/operations,null
no,Microsoft.AadCustomSecurityAttributesDiagnosticSettings/operations,null
no,Microsoft.AadCustomSecurityAttributesDiagnosticSettings/diagnosticSettings,null
no,Microsoft.AadCustomSecurityAttributesDiagnosticSettings/diagnosticSettingsCategories,null
no,microsoft.aadiam/azureADMetrics,null
no,microsoft.aadiam/privateLinkForAzureAD,null
no,microsoft.aadiam/tenants,null
no,microsoft.aadiam/operations,null
no,microsoft.aadiam/diagnosticSettings,null
no,microsoft.aadiam/diagnosticSettingsCategories,null
no,Microsoft.Addons/supportProviders,null
no,Microsoft.Addons/operations,null
no,Microsoft.Addons/operationResults,null
no,Microsoft.ADHybridHealthService/services,null
no,Microsoft.ADHybridHealthService/addsservices,null
no,Microsoft.ADHybridHealthService/configuration,null
no,Microsoft.ADHybridHealthService/operations,null
no,Microsoft.ADHybridHealthService/agents,null
no,Microsoft.ADHybridHealthService/aadsupportcases,null
no,Microsoft.ADHybridHealthService/reports,null
no,Microsoft.ADHybridHealthService/servicehealthmetrics,null
no,Microsoft.ADHybridHealthService/logs,null
no,Microsoft.ADHybridHealthService/anonymousapiusers,null
no,Microsoft.AgFoodPlatform/operations,null
no,Microsoft.AgFoodPlatform/farmBeatsExtensionDefinitions,null
no,Microsoft.AgFoodPlatform/farmBeatsSolutionDefinitions,null
no,Microsoft.AgFoodPlatform/checkNameAvailability,null
no,Microsoft.AgFoodPlatform/locations,null
no,Microsoft.AksHybrid/locations,null
yes,Microsoft.AnalysisServices/servers,Analysis Services
no,Microsoft.AnalysisServices/locations,null
no,Microsoft.AnalysisServices/locations/checkNameAvailability,null
no,Microsoft.AnalysisServices/locations/operationresults,null
no,Microsoft.AnalysisServices/locations/operationstatuses,null
no,Microsoft.AnalysisServices/operations,null
no,Microsoft.AnyBuild/Locations,null
no,Microsoft.AnyBuild/Locations/OperationStatuses,null
no,Microsoft.AnyBuild/clusters,null
no,Microsoft.AnyBuild/Operations,null
yes,Microsoft.ApiCenter/services,null
no,Microsoft.ApiCenter/operations,null
no,Microsoft.ApiCenter/services/eventGridFilters,null
no,Microsoft.ApiSecurity/Locations,null
no,Microsoft.ApiSecurity/Locations/OperationStatuses,null
no,Microsoft.ApiSecurity/Operations,null
yes,Microsoft.ApiSecurity/apiCollections,API Collection
yes,Microsoft.ApiSecurity/apiCollections/apiCollectionDetails,API Collection Detail
no,Microsoft.ApiSecurity/apiCollectionsMeta,null
no,Microsoft.ApiSecurity/apiCollectionsMeta/apiCollectionMetaDetails,null
yes,Microsoft.App/managedEnvironments,Managed Environment
no,Microsoft.App/managedEnvironments/certificates,null
no,Microsoft.App/managedEnvironments/managedCertificates,null
yes,Microsoft.App/containerApps,Microsoft App Container App
no,Microsoft.App/containerApps/privateEndpointConnectionProxies,null
no,Microsoft.App/managedEnvironments/privateEndpointConnectionProxies,null
no,Microsoft.App/jobs,null
no,Microsoft.App/locations,null
no,Microsoft.App/locations/managedEnvironmentOperationResults,null
no,Microsoft.App/locations/managedEnvironmentOperationStatuses,null
no,Microsoft.App/locations/containerappOperationResults,null
no,Microsoft.App/locations/containerappOperationStatuses,null
no,Microsoft.App/locations/containerappsjobOperationResults,null
no,Microsoft.App/locations/containerappsjobOperationStatuses,null
no,Microsoft.App/locations/sourceControlOperationResults,null
no,Microsoft.App/locations/sourceControlOperationStatuses,null
no,Microsoft.App/locations/usages,null
no,Microsoft.App/operations,null
No,Microsoft.App/connectedEnvironments,null
no,Microsoft.App/connectedEnvironments/certificates,null
no,Microsoft.App/locations/connectedEnvironmentOperationResults,null
no,Microsoft.App/locations/connectedEnvironmentOperationStatuses,null
no,Microsoft.App/locations/managedCertificateOperationStatuses,null
no,Microsoft.App/locations/billingMeters,null
no,Microsoft.App/locations/availableManagedEnvironmentsWorkloadProfileTypes,null
no,Microsoft.App/getCustomDomainVerificationId,null
no,Microsoft.App/builders,null
no,Microsoft.App/builders/builds,null
no,Microsoft.App/locations/OperationResults,null
no,Microsoft.App/locations/OperationStatuses,null
no,Microsoft.App/managedEnvironments/dotNetComponents,null
no,Microsoft.App/managedEnvironments/javaComponents,null
no,Microsoft.App/managedEnvironments/daprComponents,null
no,Microsoft.AppAssessment/Locations,null
no,Microsoft.AppAssessment/operations,null
no,Microsoft.AppAssessment/Locations/OperationStatuses,null
no,Microsoft.AppAssessment/Locations/osVersions,null
no,Microsoft.AppComplianceAutomation/operations,null
no,Microsoft.AppComplianceAutomation/locations,null
no,Microsoft.AppComplianceAutomation/locations/operationStatuses,null
no,Microsoft.AppComplianceAutomation/reports,null
no,Microsoft.AppComplianceAutomation/reports/snapshots,null
no,Microsoft.AppComplianceAutomation/onboard,null
no,Microsoft.AppComplianceAutomation/triggerEvaluation,null
no,Microsoft.AppComplianceAutomation/reports/webhooks,null
no,Microsoft.AppComplianceAutomation/reports/evidences,null
no,Microsoft.AppComplianceAutomation/listInUseStorageAccounts,null
no,Microsoft.AppComplianceAutomation/checkNameAvailability,null
no,Microsoft.AppComplianceAutomation/getCollectionCount,null
no,Microsoft.AppComplianceAutomation/getOverviewStatus,null
no,Microsoft.AppComplianceAutomation/reports/scopingConfigurations,null
yes,Microsoft.AppConfiguration/configurationStores,Configuration store
no,Microsoft.AppConfiguration/configurationStores/keyValues,null
no,Microsoft.AppConfiguration/configurationStores/eventGridFilters,null
no,Microsoft.AppConfiguration/checkNameAvailability,null
no,Microsoft.AppConfiguration/locations/checkNameAvailability,null
no,Microsoft.AppConfiguration/locations,null
no,Microsoft.AppConfiguration/locations/operationsStatus,null
no,Microsoft.AppConfiguration/operations,null
no,Microsoft.AppConfiguration/deletedConfigurationStores,null
no,Microsoft.AppConfiguration/locations/deletedConfigurationStores,null
no,Microsoft.AppConfiguration/configurationStores/replicas,null
no,Microsoft.AppConfiguration/configurationStores/snapshots,null
no,Microsoft.AppConfiguration/locations/notifyNetworkSecurityPerimeterUpdatesAvailable,null
yes,Microsoft.AppPlatform/Spring,Spring Cloud Service
no,Microsoft.AppPlatform/Spring/operationResults,null
no,Microsoft.AppPlatform/Spring/operationStatuses,null
no,Microsoft.AppPlatform/Spring/apps,null
no,Microsoft.AppPlatform/Spring/apps/operationResults,null
no,Microsoft.AppPlatform/Spring/apps/operationStatuses,null
no,Microsoft.AppPlatform/Spring/apps/deployments,null
no,Microsoft.AppPlatform/Spring/apps/deployments/operationResults,null
no,Microsoft.AppPlatform/Spring/apps/deployments/operationStatuses,null
no,Microsoft.AppPlatform/Spring/configServers,null
no,Microsoft.AppPlatform/Spring/configServers/operationResults,null
no,Microsoft.AppPlatform/Spring/configServers/operationStatuses,null
no,Microsoft.AppPlatform/Spring/eurekaServers,null
no,Microsoft.AppPlatform/Spring/eurekaServers/operationResults,null
no,Microsoft.AppPlatform/Spring/eurekaServers/operationStatuses,null
no,Microsoft.AppPlatform/Spring/apps/domains,null
no,Microsoft.AppPlatform/Spring/apps/domains/operationResults,null
no,Microsoft.AppPlatform/Spring/apps/domains/operationStatuses,null
no,Microsoft.AppPlatform/locations/checkNameAvailability,null
no,Microsoft.AppPlatform/operations,null
no,Microsoft.AppPlatform/locations,null
no,Microsoft.AppPlatform/runtimeVersions,null
no,Microsoft.AppPlatform/locations/operationResults,null
no,Microsoft.AppPlatform/locations/operationStatus,null
no,Microsoft.AppSecurity/operationStatuses,null
no,Microsoft.AppSecurity/Operations,null
no,Microsoft.ArcNetworking/locations,null
no,Microsoft.ArcNetworking/locations/operationStatuses,null
no,Microsoft.ArcNetworking/arcNwLoadBalancers,null
yes,Microsoft.Attestation/attestationProviders,Attestation provider
no,Microsoft.Attestation/defaultProviders,null
no,Microsoft.Attestation/locations,null
no,Microsoft.Attestation/locations/defaultProvider,null
no,Microsoft.Attestation/operations,null
no,Microsoft.Authorization/roleAssignmentScheduleRequests,null
no,Microsoft.Authorization/roleEligibilityScheduleRequests,null
no,Microsoft.Authorization/roleAssignmentSchedules,null
no,Microsoft.Authorization/roleEligibilitySchedules,null
no,Microsoft.Authorization/roleAssignmentScheduleInstances,null
no,Microsoft.Authorization/roleEligibilityScheduleInstances,null
no,Microsoft.Authorization/roleManagementPolicies,null
no,Microsoft.Authorization/roleManagementPolicyAssignments,null
no,Microsoft.Authorization/eligibleChildResources,null
no,Microsoft.Authorization/roleManagementAlerts,null
no,Microsoft.Authorization/roleManagementAlertConfigurations,null
no,Microsoft.Authorization/roleManagementAlertDefinitions,null
no,Microsoft.Authorization/roleManagementAlertOperations,null
no,Microsoft.Authorization/roleAssignments,null
no,Microsoft.Authorization/roleDefinitions,null
no,Microsoft.Authorization/classicAdministrators,null
no,Microsoft.Authorization/permissions,null
no,Microsoft.Authorization/denyAssignments,null
yes,Microsoft.Authorization/locks,Locks
no,Microsoft.Authorization/operations,null
yes,Microsoft.Authorization/policyDefinitions,Policy Definitions
no,Microsoft.Authorization/policyDefinitions/versions,null
no,Microsoft.Authorization/policySetDefinitions,null
no,Microsoft.Authorization/policySetDefinitions/versions,null
no,Microsoft.Authorization/policyAssignments,null
no,Microsoft.Authorization/policyExemptions,null
no,Microsoft.Authorization/listPolicyDefinitionVersions,null
no,Microsoft.Authorization/listPolicySetDefinitionVersions,null
no,Microsoft.Authorization/dataAliases,null
no,Microsoft.Authorization/dataPolicyManifests,null
no,Microsoft.Authorization/providerOperations,null
no,Microsoft.Authorization/elevateAccess,null
no,Microsoft.Authorization/checkAccess,null
no,Microsoft.Authorization/batchResourceCheckAccess,null
no,Microsoft.Authorization/findOrphanRoleAssignments,null
no,Microsoft.Authorization/roleAssignmentsUsageMetrics,null
no,Microsoft.Authorization/accessReviewScheduleDefinitions,null
no,Microsoft.Authorization/accessReviewScheduleSettings,null
no,Microsoft.Authorization/accessReviewHistoryDefinitions,null
no,Microsoft.Authorization/roleAssignmentApprovals,null
no,Microsoft.Authorization/privateLinkAssociations,null
no,Microsoft.Authorization/resourceManagementPrivateLinks,null
no,Microsoft.Authorization/EnablePrivateLinkNetworkAccess,null
no,Microsoft.Authorization/operationStatus,null
no,Microsoft.Authorization/diagnosticSettings,null
no,Microsoft.Authorization/diagnosticSettingsCategories,null
no,Microsoft.Automanage/configurationProfileAssignments,null
no,Microsoft.Automanage/configurationProfiles,null
no,Microsoft.Automanage/configurationProfiles/versions,null
no,Microsoft.Automanage/bestPractices,null
no,Microsoft.Automanage/bestPractices/versions,null
no,Microsoft.Automanage/operations,null
no,Microsoft.Automanage/servicePrincipals,null
yes,Microsoft.Automation/automationAccounts,Automation Account
no,Microsoft.Automation/deletedAutomationAccounts,null
no,Microsoft.Automation/automationAccounts/runbooks,null
no,Microsoft.Automation/automationAccounts/configurations,null
no,Microsoft.Automation/automationAccounts/webhooks,null
no,Microsoft.Automation/operations,null
no,Microsoft.Automation/automationAccounts/softwareUpdateConfigurations,null
no,Microsoft.Automation/automationAccounts/softwareUpdateConfigurationRuns,null
no,Microsoft.Automation/automationAccounts/softwareUpdateConfigurationMachineRuns,null
no,Microsoft.Automation/automationAccounts/jobs,null
no,Microsoft.Automation/automationAccounts/privateLinkResources,null
no,Microsoft.Automation/automationAccounts/privateEndpointConnections,null
no,Microsoft.Automation/automationAccounts/privateEndpointConnectionProxies,null
no,Microsoft.Automation/automationAccounts/hybridRunbookWorkerGroups,null
no,Microsoft.Automation/automationAccounts/hybridRunbookWorkerGroups/hybridRunbookWorkers,null
no,Microsoft.Automation/automationAccounts/agentRegistrationInformation,null
no,Microsoft.AutonomousDevelopmentPlatform/operations,null
no,Microsoft.AutonomousDevelopmentPlatform/locations,null
no,Microsoft.AutonomousDevelopmentPlatform/locations/operationstatuses,null
no,Microsoft.AutonomousDevelopmentPlatform/checknameavailability,null
no,Microsoft.AutonomousDevelopmentPlatform/workspaces/eventgridfilters,null
no,Microsoft.AVS/locations,null
no,Microsoft.AVS/locations/checkQuotaAvailability,null
no,Microsoft.AVS/locations/checkTrialAvailability,null
no,Microsoft.AVS/locations/usages,null
no,Microsoft.AVS/operations,null
yes,Microsoft.AVS/privateClouds,Azure Vmware Solution
no,Microsoft.AVS/privateClouds/addons,null
no,Microsoft.AVS/privateClouds/authorizations,null
no,Microsoft.AVS/privateClouds/cloudLinks,null
no,Microsoft.AVS/privateClouds/clusters,null
no,Microsoft.AVS/privateClouds/clusters/datastores,null
no,Microsoft.AVS/privateClouds/clusters/placementPolicies,null
no,Microsoft.AVS/privateClouds/clusters/virtualMachines,null
no,Microsoft.AVS/privateClouds/eventGridFilters,null
no,Microsoft.AVS/privateClouds/globalReachConnections,null
no,Microsoft.AVS/privateClouds/hcxEnterpriseSites,null
no,Microsoft.AVS/privateClouds/scriptExecutions,null
no,Microsoft.AVS/privateClouds/scriptPackages,null
no,Microsoft.AVS/privateClouds/scriptPackages/scriptCmdlets,null
no,Microsoft.AVS/privateClouds/workloadNetworks,null
no,Microsoft.AVS/privateClouds/workloadNetworks/dhcpConfigurations,null
no,Microsoft.AVS/privateClouds/workloadNetworks/dnsServices,null
no,Microsoft.AVS/privateClouds/workloadNetworks/dnsZones,null
no,Microsoft.AVS/privateClouds/workloadNetworks/gateways,null
no,Microsoft.AVS/privateClouds/workloadNetworks/portMirroringProfiles,null
no,Microsoft.AVS/privateClouds/workloadNetworks/publicIPs,null
no,Microsoft.AVS/privateClouds/workloadNetworks/segments,null
no,Microsoft.AVS/privateClouds/workloadNetworks/virtualMachines,null
no,Microsoft.AVS/privateClouds/workloadNetworks/vmGroups,null
no,Microsoft.AwsConnector/Locations,null
no,Microsoft.AwsConnector/Operations,null
no,Microsoft.AzureActiveDirectory/ciamDirectories,null
no,Microsoft.AzureActiveDirectory/guestUsages,null
no,Microsoft.AzureActiveDirectory/b2cDirectories,null
no,Microsoft.AzureActiveDirectory/checkNameAvailability,null
no,Microsoft.AzureActiveDirectory/operations,null
no,Microsoft.AzureActiveDirectory/b2ctenants,null
no,Microsoft.AzureActiveDirectory/operationStatuses,null
no,Microsoft.AzureArcData/Locations,null
no,Microsoft.AzureArcData/Locations/OperationStatuses,null
no,Microsoft.AzureArcData/DataControllers,null
no,Microsoft.AzureArcData/SqlManagedInstances,null
no,Microsoft.AzureArcData/PostgresInstances,null
yes,Microsoft.AzureArcData/SqlServerInstances,Sql Server Instance
no,Microsoft.AzureArcData/Operations,null
no,Microsoft.AzureArcData/DataControllers/ActiveDirectoryConnectors,null
no,Microsoft.AzureArcData/SqlServerInstances/Databases,null
no,Microsoft.AzureArcData/SqlManagedInstances/FailoverGroups,null
no,Microsoft.AzureArcData/SqlServerInstances/AvailabilityGroups,null
no,Microsoft.AzureArcData/SqlServerLicenses,null
no,Microsoft.AzureFleet/locations,null
yes,Microsoft.AzureLargeInstance/azureLargeInstances,Azure Large Instances
yes,Microsoft.AzureLargeInstance/azureLargeStorageInstances,Azure Large Storage Instances
no,Microsoft.AzureLargeInstance/locations,null
no,Microsoft.AzureLargeInstance/locations/operationsStatus,null
no,Microsoft.AzureLargeInstance/operations,null
no,Microsoft.AzurePercept/checkNameAvailability,null
no,Microsoft.AzurePercept/operations,null
no,Microsoft.AzurePlaywrightService/operations,null
no,Microsoft.AzurePlaywrightService/checkNameAvailability,null
no,Microsoft.AzurePlaywrightService/Locations,null
no,Microsoft.AzurePlaywrightService/Locations/OperationStatuses,null
no,Microsoft.AzurePlaywrightService/accounts,null
no,Microsoft.AzurePlaywrightService/registeredSubscriptions,null
no,Microsoft.AzurePlaywrightService/Locations/Quotas,null
no,Microsoft.AzureScan/scanningAccounts,null
no,Microsoft.AzureScan/locations,null
no,Microsoft.AzureScan/locations/OperationStatuses,null
no,Microsoft.AzureScan/Operations,null
no,Microsoft.AzureScan/checkNameAvailability,null
no,Microsoft.AzureSphere/catalogs,null
no,Microsoft.AzureSphere/catalogs/products,null
no,Microsoft.AzureSphere/catalogs/products/devicegroups,null
no,Microsoft.AzureSphere/locations,null
no,Microsoft.AzureSphere/catalogs/certificates,null
no,Microsoft.AzureSphere/catalogs/images,null
no,Microsoft.AzureSphere/operations,null
no,Microsoft.AzureSphere/locations/operationStatuses,null
no,Microsoft.AzureSphere/catalogs/products/devicegroups/devices,null
no,Microsoft.AzureSphere/catalogs/products/devicegroups/deployments,null
no,Microsoft.AzureStack/operations,null
no,Microsoft.AzureStack/registrations,null
no,Microsoft.AzureStack/registrations/products,null
no,Microsoft.AzureStack/registrations/customerSubscriptions,null
no,Microsoft.AzureStack/cloudManifestFiles,null
no,Microsoft.AzureStack/linkedSubscriptions,null
no,Microsoft.AzureStack/generateDeploymentLicense,null
no,Microsoft.AzureStackHCI/operations,null
no,Microsoft.AzureStackHCI/locations,null
no,Microsoft.AzureStackHCI/locations/operationstatuses,null
no,Microsoft.AzureStackHCI/galleryImages,null
no,Microsoft.AzureStackHCI/networkInterfaces,null
No,Microsoft.AzureStackHCI/virtualMachines,Azure Stack HCI Virtual Machines
no,Microsoft.AzureStackHCI/virtualNetworks,null
no,Microsoft.AzureStackHCI/virtualHardDisks,null
yes,Microsoft.AzureStackHCI/clusters,Azure Stack HCI
no,Microsoft.AzureStackHCI/clusters/arcSettings,null
no,Microsoft.AzureStackHCI/clusters/arcSettings/extensions,null
no,Microsoft.AzureStackHCI/virtualMachines/extensions,null
no,Microsoft.AzureStackHCI/virtualMachines/hybrididentitymetadata,null
